Chromosome/scaffold name	Gene start (bp)	Gene end (bp)	Gene stable ID
19	7348943	7383385	ENSG00000263264
4	102885048	103019739	ENSG00000164037
11	89924064	89933063	ENSG00000233802
X	154585143	154586821	ENSG00000268651
18	31129236	31162856	ENSG00000134765
10	71816298	71851375	ENSG00000197746
19	7382834	7472477	ENSG00000268861
5	19472951	20575873	ENSG00000145526
4	164954446	164977668	ENSG00000183439
4	164956948	164959122	ENSG00000250486
17	1270559	1271460	ENSG00000205899
22	43528744	43812337	ENSG00000186976
17	44248385	44268141	ENSG00000004939
10	49154725	49188585	ENSG00000204161
3	16174649	16231992	ENSG00000131386
CHR_HSCHR16_1_CTG1	16233991	16308660	ENSG00000275331
16	1349240	1351911	ENSG00000007520
15	45092650	45114344	ENSG00000140279
19	16888860	16892606	ENSG00000127533
19	17816512	17821574	ENSG00000248099
2	96274336	96305515	ENSG00000144028
8	56067295	56074581	ENSG00000008988
21	43719094	43762307	ENSG00000160209
7	143222037	143223079	ENSG00000221937
2	218990189	218993421	ENSG00000163499
2	201071433	201085750	ENSG00000119013
1	16197854	16212609	ENSG00000142632
15	75598083	75626469	ENSG00000169371
16	1333601	1349441	ENSG00000007516
16	4803203	4847342	ENSG00000140632
1	6466092	6520061	ENSG00000171680
20	21125983	21246622	ENSG00000088970
14	20583559	20609884	ENSG00000173464
17	39667981	39670475	ENSG00000141744
CHR_HSCHR6_MHC_QBL_CTG1	31720799	31729989	ENSG00000206394
22	21919420	21952837	ENSG00000100034
17	2059839	2303771	ENSG00000070366
8	79764010	79767863	ENSG00000164683
9	113373419	113376999	ENSG00000119431
11	78171249	78188822	ENSG00000188997
17	2303383	2325260	ENSG00000167720
5	33523535	33892192	ENSG00000151388
CHR_HSCHR8_7_CTG1	1755340	1786132	ENSG00000278220
7	12469621	12542222	ENSG00000226690
22	21754500	21867680	ENSG00000100030
11	111467526	111512354	ENSG00000137707
3	99817834	100181732	ENSG00000184220
11	78188812	78214711	ENSG00000118369
9	83968083	83980616	ENSG00000165119
18	5289019	5297053	ENSG00000198081
CHR_HSCHR19KIR_FH15_A_HAP_CTG3_1	54738514	54753065	ENSG00000274830
20	63895182	63936031	ENSG00000101152
11	93729948	93784391	ENSG00000166012
2	126655933	126696670	ENSG00000136732
20	33662284	33665619	ENSG00000149609
16	20933111	21159441	ENSG00000158486
17	2337498	2381058	ENSG00000141258
4	75724593	75814286	ENSG00000138768
20	33666498	33668525	ENSG00000182584
3	149030127	149086554	ENSG00000071794
19	14147743	14206187	ENSG00000072071
20	33657087	33674463	ENSG00000125967
5	33936386	33938237	ENSG00000182631
5	33944616	33984730	ENSG00000164175
20	23079349	23086340	ENSG00000125810
2	219176225	219185479	ENSG00000144567
4	1692800	1712555	ENSG00000163950
16	5033923	5087379	ENSG00000033011
22	15690026	15721631	ENSG00000198062
19	13144058	13150383	ENSG00000104915
7	64666083	64711582	ENSG00000196247
11	13009577	13012106	ENSG00000189431
1	22025511	22101360	ENSG00000285721
7	8433955	8752963	ENSG00000122584
11	65386599	65413525	ENSG00000126391
3	20160593	20186292	ENSG00000129810
X	47836902	48002561	ENSG00000197779
5	71719163	71721048	ENSG00000164326
10	43556344	43574618	ENSG00000196793
8	123013164	123042423	ENSG00000136986
15	82536788	82573194	ENSG00000260836
3	48446710	48467645	ENSG00000164053
19	52702813	52735073	ENSG00000213020
11	118338954	118342744	ENSG00000167286
20	52972407	53495330	ENSG00000182463
1	64203627	64267368	ENSG00000177414
CHR_HSCHR6_MHC_QBL_CTG1	33207935	33218358	ENSG00000206284
12	56118159	56127514	ENSG00000135482
16	2830169	2839585	ENSG00000162078
3	167240287	167381346	ENSG00000169064
8	107899316	108083648	ENSG00000147655
13	113399610	113453524	ENSG00000153531
13	98793429	99086625	ENSG00000088387
16	24255553	24362801	ENSG00000006116
17	38003976	38014902	ENSG00000274419
8	121612116	121641390	ENSG00000170961
X	134373253	134428791	ENSG00000156531
9	4553386	4666674	ENSG00000106686
2	231592901	231594283	ENSG00000177673
8	107249482	107498055	ENSG00000154188
3	187721377	187745727	ENSG00000113916
8	166049	167043	ENSG00000176269
11	112167372	112172559	ENSG00000150783
2	219245455	219250337	ENSG00000115661
4	122378966	122429802	ENSG00000164113
3	33277025	33403662	ENSG00000153558
3	179347692	179394931	ENSG00000171109
21	37223420	37267919	ENSG00000157538
2	101271219	101308701	ENSG00000163162
CHR_HSCHR6_MHC_DBB_CTG1	31712749	31721936	ENSG00000226248
16	58231157	58283836	ENSG00000103021
15	30624494	30638805	ENSG00000285077
10	80150889	80205572	ENSG00000122359
17	44186970	44191731	ENSG00000168591
X	111511662	111522399	ENSG00000260802
4	68447449	68497604	ENSG00000087128
9	33383179	33402682	ENSG00000165269
10	4786629	4848062	ENSG00000165568
1	13172455	13179464	ENSG00000204505
21	32733899	32771858	ENSG00000159086
17	49700934	49709014	ENSG00000121073
6	10492223	10629368	ENSG00000111846
17	46292733	46337794	ENSG00000176681
X	101009346	101052116	ENSG00000188917
CHR_HSCHR6_MHC_MCF_CTG1	29044362	29045389	ENSG00000228977
1	1418420	1421769	ENSG00000235098
11	59503576	59504511	ENSG00000176200
2	85354394	85391752	ENSG00000115459
9	35673856	35681159	ENSG00000107159
13	83877205	83882393	ENSG00000178235
12	8509475	8522366	ENSG00000166527
CHR_HSCHR17_7_CTG4	37411498	37484368	ENSG00000277104
10	96129715	96205288	ENSG00000177853
18	37243047	37566037	ENSG00000101489
2	169127109	169362685	ENSG00000081479
6	15522801	15663058	ENSG00000047579
X	100969708	100990829	ENSG00000174225
CHR_HSCHR14_2_CTG1	104586828	104597659	ENSG00000274126
1	17372196	17401699	ENSG00000276747
4	68310387	68350089	ENSG00000083896
17	44759031	44781846	ENSG00000073670
7	30010587	30026684	ENSG00000106080
7	40126023	40134652	ENSG00000168303
X	70286595	70290514	ENSG00000120509
8	11486894	11564604	ENSG00000136573
10	12068972	12123225	ENSG00000181192
CHR_HSCHR15_1_CTG1	21659028	21660224	ENSG00000278178
3	32481312	32503408	ENSG00000091317
11	89177452	89295759	ENSG00000077498
11	59171430	59208587	ENSG00000110042
11	66466327	66477337	ENSG00000174516
CHR_HSCHR6_MHC_QBL_CTG1	33200834	33205337	ENSG00000096150
11	66520637	66546238	ENSG00000174165
7	151341699	151378449	ENSG00000013374
17	7705202	7711378	ENSG00000108947
CHR_HSCHR19LRC_COX1_CTG3_1	54525581	54534404	ENSG00000274935
17	17505563	17591708	ENSG00000133027
CHR_HSCHR6_MHC_QBL_CTG1	31936032	31942466	ENSG00000241253
11	57542641	57550274	ENSG00000214872
7	16087527	16421322	ENSG00000214960
CHR_HSCHR6_MHC_QBL_CTG1	31962758	31973199	ENSG00000272295
7	151375909	151410727	ENSG00000187260
1	12938472	12947580	ENSG00000232423
5	131245493	131398447	ENSG00000158985
8	86553977	86743675	ENSG00000170289
17	42402452	42423517	ENSG00000177469
22	49900229	49918458	ENSG00000182858
1	12857086	12861909	ENSG00000120952
CHR_HSCHR9_1_CTG2	69435727	69484339	ENSG00000276497
X	48893447	48898143	ENSG00000126768
CHR_HSCHR5_1_CTG1_1	70312214	70368830	ENSG00000276068
6	31718594	31726714	ENSG00000204420
8	80485619	80526265	ENSG00000205189
CHR_HSCHR22_1_CTG5	36800684	36819479	ENSG00000274665
CHR_HSCHR17_6_CTG4	41226627	41227631	ENSG00000262573
CHR_HSCHR17_6_CTG4	41238317	41239283	ENSG00000262896
4	147637785	147684230	ENSG00000164169
21	26917912	26966513	ENSG00000154736
19	4903080	4962154	ENSG00000276043
3	132558138	132660723	ENSG00000240303
20	32052188	32101856	ENSG00000101336
3	128726122	128814796	ENSG00000075785
8	86514427	86561498	ENSG00000085719
3	132558142	132722459	ENSG00000274810
Y	22973819	23005465	ENSG00000183753
11	64185272	64204543	ENSG00000168439
8	23135588	23164030	ENSG00000173530
3	124905442	124953819	ENSG00000173702
1	17205126	17246005	ENSG00000142623
16	2712418	2720551	ENSG00000172382
19	18434388	18438301	ENSG00000105655
1	12824605	12831410	ENSG00000239810
21	43053191	43076943	ENSG00000160200
CHR_HSCHR17_6_CTG4	41244014	41244994	ENSG00000262594
15	99098217	99135593	ENSG00000182253
CHR_HSCHR17_6_CTG4	41264289	41265327	ENSG00000262221
CHR_HSCHR4_1_CTG9	68810840	68834168	ENSG00000278216
1	12791397	12796628	ENSG00000116721
5	131159027	131171735	ENSG00000169567
19	3482804	3483446	ENSG00000284638
1	12774841	12777906	ENSG00000116726
X	276322	303356	ENSG00000182378
15	78264086	78282196	ENSG00000140403
11	4803433	4804380	ENSG00000279270
4	41990472	42090457	ENSG00000014824
11	4881819	4882883	ENSG00000176900
17	81887844	81891586	ENSG00000183684
20	62214970	62220267	ENSG00000101180
5	126867714	127030808	ENSG00000173926
1	6624866	6635586	ENSG00000041988
7	134527592	134541408	ENSG00000198074
11	4690423	4697831	ENSG00000197674
7	65373799	65401135	ENSG00000146757
20	41028818	41124487	ENSG00000198900
CHR_HSCHR6_MHC_MCF_CTG1	32515215	32520425	ENSG00000230726
17	4433688	4488208	ENSG00000182557
3	196946343	196969060	ENSG00000119227
3	196942623	196943540	ENSG00000270170
7	100673531	100679174	ENSG00000172354
2	85602856	85649282	ENSG00000168883
3	50329782	50340980	ENSG00000068028
13	110712736	110723339	ENSG00000153487
11	36269284	36289449	ENSG00000110442
X	93670930	93673568	ENSG00000186310
7	39566376	39610320	ENSG00000241127
17	75261674	75266373	ENSG00000125445
3	14675099	14773034	ENSG00000131379
8	28089673	28191156	ENSG00000134014
20	41136960	41196801	ENSG00000124181
22	39223359	39244751	ENSG00000100311
17	82829435	82840578	ENSG00000141579
1	16246839	16352454	ENSG00000037637
11	4637477	4643060	ENSG00000197428
15	65148219	65185342	ENSG00000166855
22	22244675	22245515	ENSG00000169575
CHR_HSCHR19_4_CTG3_1	54961245	55009257	ENSG00000273992
20	23602410	23605876	ENSG00000173335
CHR_HSCHR1_1_CTG3	2555639	2565622	ENSG00000273936
20	62183029	62203568	ENSG00000101181
22	50551112	50562905	ENSG00000217442
CHR_HSCHR19LRC_COX1_CTG3_1	54294163	54306461	ENSG00000276175
22	50545891	50551023	ENSG00000130487
5	31639410	32110931	ENSG00000133401
4	105145875	105279816	ENSG00000168769
CHR_HSCHR1_1_CTG3	2528745	2530245	ENSG00000273529
11	68008578	68029282	ENSG00000006534
13	110641412	110713603	ENSG00000134905
CHR_HSCHR6_MHC_COX_CTG1	32890988	32903839	ENSG00000234507
7	120787320	120858402	ENSG00000106025
5	69093646	69131069	ENSG00000145740
2	11444375	11466177	ENSG00000169016
17	18744024	18779349	ENSG00000171931
11	1919562	1938706	ENSG00000130595
CHR_HSCHR19_4_CTG3_1	54931624	54974427	ENSG00000274571
9	64369394	64413142	ENSG00000172014
CHR_HSCHR6_MHC_MANN_CTG1	31697751	31700226	ENSG00000228177
18	77250549	77277896	ENSG00000166573
CHR_HSCHR17_1_CTG5	46886236	47052838	ENSG00000278174
11	56663662	56664687	ENSG00000172459
CHR_HSCHR16_3_CTG1	4314761	4339597	ENSG00000274636
4	7758714	7939926	ENSG00000196526
11	790475	798333	ENSG00000177542
CHR_HSCHR6_MHC_QBL_CTG1	31259328	31347305	ENSG00000206450
11	66268533	66277492	ENSG00000174903
4	41981696	41986467	ENSG00000182308
7	92604921	92836594	ENSG00000105810
15	56087280	56243266	ENSG00000181827
X	132023265	132075943	ENSG00000134602
22	42509968	42519802	ENSG00000189306
11	56641466	56642471	ENSG00000172464
X	109624244	109733403	ENSG00000068366
22	36140330	36166177	ENSG00000128284
7	44144271	44198170	ENSG00000106633
7	92528773	92538005	ENSG00000127993
3	9962537	10011116	ENSG00000125037
10	78033732	78056813	ENSG00000138326
7	100064033	100082548	ENSG00000166526
16	3298832	3305729	ENSG00000140993
Y	21382954	21386360	ENSG00000183146
2	175176258	175184607	ENSG00000154518
11	392614	404908	ENSG00000184363
4	70133616	70176799	ENSG00000187533
4	4290251	4321786	ENSG00000168826
20	45747944	45791932	ENSG00000124116
CHR_HSCHR19KIR_FH15_B_HAP_CTG3_1	54738502	54752797	ENSG00000275737
CHR_HSCHR21_5_CTG2	46190452	46221883	ENSG00000281289
3	126103562	126197994	ENSG00000144908
20	63974113	63980008	ENSG00000130590
11	35662805	35818007	ENSG00000166326
6	6144085	6321013	ENSG00000124491
X	120427827	120469365	ENSG00000005893
3	14651746	14672659	ENSG00000154781
CHR_HSCHR6_MHC_SSTO_CTG1	31748922	31755608	ENSG00000255419
17	42678889	42683917	ENSG00000184451
2	71064344	71079805	ENSG00000124357
2	127535802	127637729	ENSG00000169994
11	111602391	111730853	ENSG00000170145
20	45648563	45670270	ENSG00000180083
11	64803510	64811294	ENSG00000133895
1	6521347	6554535	ENSG00000162408
7	118214669	118496171	ENSG00000106013
4	7192538	7742836	ENSG00000184985
2	70939318	70995336	ENSG00000258881
11	130448974	130476641	ENSG00000166106
3	150659885	150703971	ENSG00000163645
CHR_HSCHR1_1_CTG3	2508533	2526600	ENSG00000273494
7	134442350	134459284	ENSG00000085662
X	68042344	68433913	ENSG00000079482
7	118184032	118192824	ENSG00000128534
4	1721490	1745176	ENSG00000013810
CHR_HSCHR6_MHC_SSTO_CTG1	31576870	31579655	ENSG00000230791
7	38977998	39493095	ENSG00000106536
11	119044189	119057202	ENSG00000149428
16	66754976	66801620	ENSG00000249961
3	149129584	149173732	ENSG00000163755
9	38694263	38720428	ENSG00000283329
7	6688433	6706923	ENSG00000164631
10	72273920	72276036	ENSG00000168209
19	15878023	15898120	ENSG00000186115
CHR_HSCHR6_MHC_QBL_CTG1	30689327	30707408	ENSG00000206481
16	21197450	21214510	ENSG00000103310
2	174072447	174248698	ENSG00000138430
13	75620434	75859870	ENSG00000136153
CHR_HSCHR6_MHC_MCF_CTG1	32271266	32300513	ENSG00000223355
X	153056409	153060467	ENSG00000183837
8	144477969	144502121	ENSG00000160972
CHR_HSCHR19LRC_PGF1_CTG3_1	54239108	54243457	ENSG00000275539
16	86530176	86555235	ENSG00000103248
17	18697998	18736118	ENSG00000108448
22	17116299	17121367	ENSG00000183307
Y	20756164	20781032	ENSG00000280969
10	89579497	89645572	ENSG00000152782
4	4188803	4226889	ENSG00000163982
13	40789412	40810111	ENSG00000102743
1	10636604	10796650	ENSG00000130940
19	15737985	15742343	ENSG00000171936
5	70925030	70953942	ENSG00000172062
13	75549480	75606020	ENSG00000118939
16	3263800	3301401	ENSG00000006194
17	28367276	28373091	ENSG00000109072
CHR_HSCHR19KIR_FH15_B_HAP_CTG3_1	54724479	54736497	ENSG00000274394
17	28357581	28363683	ENSG00000244045
3	138261437	138329886	ENSG00000181322
1	10946471	10982037	ENSG00000175262
2	174348022	174395715	ENSG00000138433
20	63981135	64033100	ENSG00000101161
2	49918505	51225575	ENSG00000179915
X	155071420	155123074	ENSG00000185515
16	30114105	30123506	ENSG00000102882
X	155061622	155071362	ENSG00000182712
15	65001512	65029639	ENSG00000103707
17	28364268	28365244	ENSG00000274529
CHR_HSCHR6_MHC_COX_CTG1	28573507	28587330	ENSG00000248496
X	153395640	153401420	ENSG00000214897
CHR_HSCHR17_2_CTG5	46662121	46715644	ENSG00000276799
5	36248434	36302114	ENSG00000164188
2	201116104	201176687	ENSG00000003402
4	4267701	4290169	ENSG00000145220
CHR_HSCHR21_5_CTG2	46161526	46186787	ENSG00000274679
6	29826967	29831125	ENSG00000204632
10	117542444	117549546	ENSG00000170370
CHR_HSCHR6_MHC_QBL_CTG1	30709720	30714946	ENSG00000183311
CHR_HSCHR5_2_CTG1_1	69364756	69370027	ENSG00000276463
CHR_HSCHR17_2_CTG5	46591415	46662074	ENSG00000277641
CHR_HSCHR6_MHC_SSTO_CTG1	31753556	31755608	ENSG00000237918
5	52989326	53094779	ENSG00000164171
3	186842690	186858463	ENSG00000181092
22	39097224	39104067	ENSG00000100298
2	36355926	36551135	ENSG00000150938
20	45722351	45725830	ENSG00000149651
22	42380410	42432395	ENSG00000235568
CHR_HSCHR17_1_CTG5	46250606	46252843	ENSG00000278194
CHR_HSCHR6_MHC_APD_CTG1	31561856	31578081	ENSG00000231179
17	42682613	42699814	ENSG00000108797
17	1517718	1562816	ENSG00000174238
11	111726908	111766427	ENSG00000137713
20	45684653	45705019	ENSG00000182931
19	15804549	15815664	ENSG00000186723
17	44372180	44389505	ENSG00000005961
7	99923269	99929620	ENSG00000176402
11	69771016	69775403	ENSG00000075388
4	7430294	7434973	ENSG00000178597
2	70978380	70985499	ENSG00000144031
6	30058899	30064909	ENSG00000066379
2	157526767	157629005	ENSG00000123612
2	70900590	70965373	ENSG00000116035
CHR_HSCHR16_4_CTG1	1913487	1920464	ENSG00000276333
3	161496808	161503942	ENSG00000182447
8	93857807	93926066	ENSG00000164951
CHR_HSCHR6_MHC_DBB_CTG1	33178351	33182345	ENSG00000229802
19	6661253	6670588	ENSG00000125735
2	84423523	84460045	ENSG00000163541
11	112248479	112260860	ENSG00000188771
15	51751561	51816368	ENSG00000128872
CHR_HSCHR6_MHC_DBB_CTG1	33171494	33178594	ENSG00000228333
X	153179285	153183880	ENSG00000198681
CHR_HSCHR6_MHC_SSTO_CTG1	31579641	31583730	ENSG00000223833
CHR_HSCHR19LRC_PGF1_CTG3_1	54201424	54249604	ENSG00000274950
X	153072482	153075018	ENSG00000235961
15	51723011	51751585	ENSG00000140280
17	22523111	22524663	ENSG00000256618
3	141876124	141926514	ENSG00000069849
19	15787661	15801025	ENSG00000172519
10	73631654	73641757	ENSG00000177791
17	49575858	49583827	ENSG00000182575
20	4120980	4187747	ENSG00000088826
8	141207166	141308305	ENSG00000022567
8	49909789	50796691	ENSG00000147481
X	152988824	152994127	ENSG00000198883
2	70830214	70835822	ENSG00000116031
X	120362085	120383249	ENSG00000101892
3	40387156	40428744	ENSG00000168032
7	6637322	6656432	ENSG00000205903
8	31033801	31173769	ENSG00000165392
22	39077005	39087743	ENSG00000239713
8	53851808	53959303	ENSG00000147509
3	149162410	149222055	ENSG00000047457
10	77969251	78029545	ENSG00000148606
7	128866308	128872044	ENSG00000272899
18	12254319	12277595	ENSG00000176194
15	75903859	75942510	ENSG00000167196
11	111540280	111561745	ENSG00000204381
11	66664998	66677921	ENSG00000173914
CHR_HSCHR7_1_CTG4_4	103099776	103149564	ENSG00000275723
3	2098813	3057956	ENSG00000144619
17	45894382	46028334	ENSG00000186868
11	66616626	66646469	ENSG00000248643
16	2530035	2531417	ENSG00000205923
17	17200995	17206315	ENSG00000179598
17	45844835	45847072	ENSG00000185294
17	58218548	58268518	ENSG00000167419
17	45999250	45999694	ENSG00000256762
13	46771256	46797232	ENSG00000139684
CHR_HSCHR6_MHC_COX_CTG1	33240162	33250873	ENSG00000227046
16	29662979	29670876	ENSG00000197471
CHR_HSCHR19LRC_PGF1_CTG3_1	54217293	54223789	ENSG00000275019
16	51135975	51151367	ENSG00000103449
19	3750819	3761699	ENSG00000011132
3	58008400	58172251	ENSG00000136068
11	369796	382116	ENSG00000182272
19	6135247	6193094	ENSG00000130377
16	4510675	4538828	ENSG00000089486
5	43065176	43192021	ENSG00000172262
20	45607939	45631268	ENSG00000180205
X	131543976	131545056	ENSG00000171054
11	118003634	118088299	ENSG00000255274
15	77613027	77820900	ENSG00000169783
13	21140514	21149084	ENSG00000150459
CHR_HSCHR6_MHC_COX_CTG1	31867303	31885231	ENSG00000236759
7	128862826	128865844	ENSG00000128524
7	12686856	12690934	ENSG00000122644
4	75913657	75941051	ENSG00000138744
CHR_HSCHR6_MHC_QBL_CTG1	31150981	31156655	ENSG00000206455
17	1494571	1516888	ENSG00000132376
17	61452404	61485110	ENSG00000121075
11	78215297	78418348	ENSG00000033327
9	113410054	113429684	ENSG00000157653
X	48801377	48824982	ENSG00000094631
9	98056739	98083075	ENSG00000095380
7	100620416	100642779	ENSG00000106327
CHR_HSCHR6_MHC_MCF_CTG1	33442379	33446883	ENSG00000226225
9	98069275	98119212	ENSG00000106785
21	36699133	36749917	ENSG00000159263
9	97983361	98015943	ENSG00000136938
17	42119674	42154916	ENSG00000267261
CHR_HSCHR6_MHC_APD_CTG1	33114995	33126260	ENSG00000236693
11	6606296	6612667	ENSG00000166337
X	131273506	131578899	ENSG00000147255
5	36192592	36242279	ENSG00000152620
CHR_HSCHR19KIR_FH15_B_HAP_CTG3_1	54782627	54797062	ENSG00000277163
18	12093853	12129749	ENSG00000181626
16	67170154	67175735	ENSG00000140939
16	57092537	57148367	ENSG00000140848
19	1103926	1106791	ENSG00000167468
16	56730105	56850286	ENSG00000102900
9	17134982	17503923	ENSG00000044459
4	103105806	103198409	ENSG00000138778
12	6570082	6614524	ENSG00000111642
CHR_HSCHR6_MHC_MCF_CTG1	32261167	32266609	ENSG00000236353
4	174283677	174333380	ENSG00000164118
CHR_HSCHR6_MHC_MCF_CTG1	33420661	33442416	ENSG00000224455
22	18605815	18611919	ENSG00000275793
19	11451326	11481046	ENSG00000196361
4	70050402	70058845	ENSG00000126550
22	39040604	39053910	ENSG00000128394
CHR_HSCHR19KIR_FH15_B_HAP_CTG3_1	54837484	54858960	ENSG00000277540
3	9945542	9952394	ENSG00000163704
19	10922185	10928681	ENSG00000130733
15	42412823	42491141	ENSG00000103994
X	16719632	16765336	ENSG00000169895
17	58692573	58735611	ENSG00000108384
9	33750466	33799231	ENSG00000010438
19	11483427	11505923	ENSG00000161914
18	32124877	32470484	ENSG00000141441
11	63759892	63768775	ENSG00000188070
11	95089810	95132645	ENSG00000149218
11	77034398	77041973	ENSG00000198488
X	53082367	53088540	ENSG00000184205
10	47348371	47357875	ENSG00000265203
11	47214465	47239240	ENSG00000134574
1	11026523	11047233	ENSG00000009724
2	128091200	128195677	ENSG00000136731
16	29806106	29811164	ENSG00000103495
15	35217345	35546193	ENSG00000134146
CHR_HSCHR1_3_CTG31	198650158	198733963	ENSG00000262418
5	36606355	36688334	ENSG00000079215
15	88459476	88467419	ENSG00000259494
3	12583601	12664226	ENSG00000132155
10	97332497	97334709	ENSG00000181274
17	43940804	43942468	ENSG00000108849
3	15042460	15065335	ENSG00000131368
3	49198428	49258104	ENSG00000173421
15	77984036	78077724	ENSG00000167202
CHR_HSCHR6_MHC_MCF_CTG1	32663658	32684403	ENSG00000228284
11	58189070	58194053	ENSG00000186513
4	1811479	1856247	ENSG00000168924
2	214931542	215138428	ENSG00000144452
1	1324756	1328897	ENSG00000224051
7	120950749	120977216	ENSG00000071243
7	151085831	151144436	ENSG00000133612
CHR_HSCHR14_7_CTG1	94081282	94103846	ENSG00000276880
17	7549099	7561601	ENSG00000248871
4	105369077	105474081	ENSG00000138777
3	187197486	187201465	ENSG00000175077
CHR_HSCHR19_4_CTG3_1	54359738	54378912	ENSG00000276053
4	145757627	145938635	ENSG00000151612
CHR_HSCHR4_1_CTG12	155924118	155953911	ENSG00000263238
3	138347648	138405534	ENSG00000158186
9	109171975	109320964	ENSG00000095203
19	7595902	7618304	ENSG00000076826
22	20429241	20446620	ENSG00000277971
22	43999211	44172949	ENSG00000188677
CHR_HSCHR6_MHC_MCF_CTG1	31193274	31218582	ENSG00000233734
7	100706053	100707495	ENSG00000172336
7	56114681	56116400	ENSG00000185290
10	102449837	102451543	ENSG00000120055
CHR_HSCHR6_MHC_MCF_CTG1	31193614	31198966	ENSG00000237165
X	40648306	40735858	ENSG00000180182
CHR_HSCHR6_MHC_MCF_CTG1	31189747	31191083	ENSG00000224105
3	126394939	126436556	ENSG00000163885
8	10764963	10839884	ENSG00000254093
2	176151222	176153226	ENSG00000170166
CHR_HSCHR11_3_CTG1	1086525	1116069	ENSG00000278466
17	18840085	18931287	ENSG00000141127
11	111878935	111885975	ENSG00000137720
17	59155499	59204705	ENSG00000068489
CHR_HSCHR17_10_CTG4	36088256	36090169	ENSG00000278567
1	16440672	16460078	ENSG00000157191
15	65194758	65211488	ENSG00000138615
4	121879027	121951754	ENSG00000138741
9	109015152	109119945	ENSG00000106771
8	119730775	119832863	ENSG00000064313
7	2403560	2448483	ENSG00000136213
3	14947584	15053600	ENSG00000177463
13	21372573	21459370	ENSG00000180776
16	14922802	14952060	ENSG00000183426
CHR_HSCHR6_MHC_MCF_CTG1	32611143	32626106	ENSG00000231021
17	18780995	18806714	ENSG00000171928
22	17137511	17165287	ENSG00000069998
22	37065436	37109713	ENSG00000187045
3	49177632	49191858	ENSG00000236980
13	41216369	41263577	ENSG00000120662
2	176188579	176190907	ENSG00000128645
16	769428	783370	ENSG00000162006
CHR_HSCHR4_1_CTG12	155836689	155866273	ENSG00000262505
17	81900745	81902905	ENSG00000183979
11	68030617	68036644	ENSG00000110717
2	25926596	25982749	ENSG00000084731
10	132783179	132786052	ENSG00000148826
CHR_HSCHR6_MHC_MCF_CTG1	31841886	31853590	ENSG00000223757
CHR_HSCHR6_MHC_COX_CTG1	30092809	30103024	ENSG00000226402
7	28995231	29195451	ENSG00000106066
15	35084193	35085110	ENSG00000255192
19	14408819	14419383	ENSG00000123136
5	81301590	81313297	ENSG00000131732
17	7187169	7219841	ENSG00000132535
11	57181747	57191717	ENSG00000183908
15	69298947	69407780	ENSG00000137819
CHR_HSCHR6_MHC_QBL_CTG1	33004965	33016242	ENSG00000215048
7	134646808	134679813	ENSG00000172331
CHR_HSCHR17_7_CTG4	38553523	38565018	ENSG00000275903
2	214725646	214809711	ENSG00000138376
3	14810853	14934565	ENSG00000154783
16	67199111	67204029	ENSG00000102890
10	132537820	132783480	ENSG00000068383
4	174636914	174829314	ENSG00000145451
17	80206716	80220923	ENSG00000181523
16	56932048	56944863	ENSG00000051108
4	42110938	42152878	ENSG00000188848
7	26201162	26213356	ENSG00000122565
11	31432401	31509645	ENSG00000148950
3	126342635	126357442	ENSG00000163884
1	12167003	12209228	ENSG00000028137
7	13891228	13991425	ENSG00000006468
5	112142441	112419316	ENSG00000129595
22	50568861	50578465	ENSG00000205560
11	64823387	64844569	ENSG00000171219
7	140084746	140177035	ENSG00000006459
7	29146569	29514328	ENSG00000106069
16	29940885	29973052	ENSG00000149932
10	118297930	118342328	ENSG00000165669
17	65010715	65056839	ENSG00000120063
7	93188586	93226524	ENSG00000188175
3	127629181	127672809	ENSG00000114631
11	797511	799190	ENSG00000274897
19	1609290	1652605	ENSG00000071564
16	2537964	2603188	ENSG00000140992
CHR_HSCHR6_MHC_COX_CTG1	30056599	30060223	ENSG00000234058
X	10445310	10833654	ENSG00000101871
11	809647	812880	ENSG00000177600
20	57561080	57568112	ENSG00000124253
4	41256413	41268455	ENSG00000154277
3	136250306	136337896	ENSG00000114054
15	34978341	34988287	ENSG00000198146
7	66987677	66995601	ENSG00000126524
17	4498838	4539035	ENSG00000183018
17	63872012	63873766	ENSG00000213218
17	80219699	80253500	ENSG00000181045
16	23557362	23574389	ENSG00000103353
20	49293394	49484297	ENSG00000158445
11	799179	809753	ENSG00000177595
10	27812164	27999048	ENSG00000169126
CHR_HSCHR6_MHC_MCF_CTG1	31062263	31068453	ENSG00000227506
CHR_HSCHR7_1_CTG6	141744329	141752534	ENSG00000262771
CHR_HSCHR6_MHC_DBB_CTG1	29044223	29045250	ENSG00000229328
X	35798342	35803735	ENSG00000189023
8	10525546	10554166	ENSG00000184647
8	10482878	10547585	ENSG00000253649
15	100877714	100916626	ENSG00000184254
3	49171611	49176486	ENSG00000185909
9	33104082	33167356	ENSG00000086062
X	40626921	40647554	ENSG00000185753
CHR_HSCHR6_MHC_MCF_CTG1	31019512	31029672	ENSG00000257232
4	93828753	93830964	ENSG00000172238
17	4538897	4555631	ENSG00000132382
17	7217125	7225273	ENSG00000072778
X	71118556	71142454	ENSG00000184634
6	36354091	36387800	ENSG00000010030
17	80169992	80209331	ENSG00000141527
10	79069035	79316528	ENSG00000108175
3	149318498	149334414	ENSG00000163762
15	42491233	42545356	ENSG00000092531
